场次,镜号,镜头类型/景别,画面内容,人物调度,摄影机角度,摄影机运动,声音/对白,剪辑/转场,镜头目的
1,13,中景,"林悦（电话那头，不满）：你怎么又说“好”？你就不激动吗？我都要嫁人了！",林晓听电话,平视,固定,林悦（画外）：你怎么又说“好”？你就不激动吗？我都要嫁人了！,切至,制造情绪变化
1,14,近景,"林晓停顿了一下。",林晓表情,平视,固定,林晓（停顿）：我替你高兴。真的。,切至,展示林晓犹豫
1,15,中景,"林悦（电话那头，催促）：那你语气高兴一点嘛。算了，不跟你计较。对了，妈让你周末回来吃饭，陈浩也来。你终于可以正式认识他了。",林晓听电话，手指无意识摩挲书脊,平视,固定,林悦（画外）：那你语气高兴一点嘛。算了，不跟你计较。对了，妈让你周末回来吃饭，陈浩也来。你终于可以正式认识他了。,切至,制造悬念
1,16,特写,"林晓的手指在书脊上摩挲。",林晓动作,微俯,固定,林晓：嗯。,切至,展示林晓不安
1,17,中景,"林悦（电话那头，抱怨）：又“嗯”！你能不能多说几个字？",林晓听电话,平视,固定,林悦（画外）：又“嗯”！你能不能多说几个字？,切至,制造情绪
1,18,近景,"林晓笑了一下，但笑容勉强。",林晓表情,平视,固定,林晓（笑了一下）：我会来的。我想看看那个……让你在云上走路的人。,切至,展示林晓勉强配合
1,19,中景,"林悦满意地挂断。林晓放下手机，看着窗外。阳光正好，但她眼里有一丝说不清的阴影。",林晓放下手机，视线转向窗外,平视,固定,挂断声，环境声恢复,切至,展示林晓内心阴影
1,20,中景,"小梅：你姐要结婚了？恭喜啊！你姐夫做什么的？",小梅靠近林晓,平视,固定,小梅：你姐要结婚了？恭喜啊！你姐夫做什么的？,切至,引入对话
1,21,近景,"林晓心不在焉地回答。",林晓视线仍看向窗外,平视,固定,林晓（心不在焉）：他说……是做贸易的。,切至,展示林晓心不在焉
1,22,近景,"小梅：什么叫“他说”？你见过他吗？",小梅表情疑惑,平视,固定,小梅：什么叫“他说”？你见过他吗？,切至,制造疑问
1,23,近景,"林晓：见过一次。很完美。",林晓收回视线，看向小梅,平视,固定,林晓：见过一次。很完美。,切至,展示林晓怀疑
1,24,中景,"小梅：完美不好吗？",小梅追问,平视,固定,小梅：完美不好吗？,切至,制造对比
1,25,近景,"林晓没有回答。她低头看向手里的书——《沉默的代价》。封面是一张紧闭的嘴。",林晓低头看书,微俯,缓慢推进,无对白，环境声：纸张翻动声,切至,强调关键道具
1,26,特写,"她翻开第一页，上面写着：沉默是安全的，但安全不一定是好的。",林晓手指翻开书页,微俯,固定,无对白,切至,展示主题句
1,27,中景,"林晓合上书，把它放进了“待修补”的箱子。",林晓动作,平视,固定,书合上的声音,切至,完成动作

2,1,远景,"林家客厅全景。餐桌上摆满了菜。母亲（55岁，精明干练）在厨房和餐桌间穿梭，脸上带着难得的笑容。",母亲移动,俯拍,缓慢摇移,环境声：锅铲声、碗碟声,淡入,建立空间
2,2,中景,"林悦（28岁，开朗自信）挽着陈浩（32岁，西装笔挺，笑容温和）走进来。",林悦和陈浩从门口入画,平视,横移跟拍,林悦：妈！我们来了！,切至,引入人物
2,3,近景,"母亲从厨房探出头，眼睛立刻亮了。",母亲动作,平视,固定,母亲：哎呀，小陈来了！快坐快坐，别站着。,切至,展示母亲态度
2,4,中景,"陈浩：阿姨，您别忙了，我来帮您。",陈浩向前走,平视,固定,陈浩：阿姨，您别忙了，我来帮您。,切至,展示陈浩礼貌
2,5,中景,"母亲：不用不用，你是客人。晓晓，你愣着干嘛？倒茶啊。",母亲转向林晓方向,平视,固定,母亲：不用不用，你是客人。晓晓，你愣着干嘛？倒茶啊。,切至,制造指令
2,6,中景,"林晓从沙发上站起来，倒了茶，递给陈浩。两人的目光短暂接触。",林晓动作，递茶,平视,固定,无对白，环境声：倒茶声,切至,展示初次接触
2,7,近景,"陈浩接过茶，微笑：谢谢。你是林晓吧？林悦总提起你，说你特别安静，像只小兔子。",陈浩表情,平视,固定,陈浩：谢谢。你是林晓吧？林悦总提起你，说你特别安静，像只小兔子。,切至,展示陈浩表面友好
2,8,近景,"林晓勉强笑了一下：兔子也会咬人。",林晓表情,平视,固定,林晓（勉强笑）：兔子也会咬人。,切至,展示林晓轻微反抗
2,9,中景,"陈浩愣了一下，随即大笑：那我要小心了。",陈浩反应,平视,固定,陈浩：那我要小心了。,切至,展示陈浩掌控局面
2,10,中景,"林悦（拍陈浩）：你别逗她。晓晓就是内向，她人很好的。",林悦动作,平视,固定,林悦（拍陈浩）：你别逗她。晓晓就是内向，她人很好的。,切至,展示姐妹关系
2,11,全景,"饭桌上，气氛热烈。陈浩讲他的“贸易生意”，讲他在国外出差的见闻。母亲听得频频点头，林悦一脸崇拜。林晓默默吃饭，偶尔抬头观察。",陈浩说话，母亲和林悦专注，林晓低头,平视,固定,陈浩说话声（内容模糊），笑声,切至,展示家庭动态
2,12,中景,"母亲：小陈啊，你们公司叫什么名字来着？",母亲提问,平视,固定,母亲：小陈啊，你们公司叫什么名字来着？,切至,制造关键提问
2,13,近景,"陈浩自然地回答，但眼神有一瞬间的闪躲。",陈浩表情变化,平视,固定,陈浩（自然地）：华信国际。总部在新加坡，国内分公司在深圳。,切至,展示陈浩说谎迹象
2,14,特写,"陈浩的眼神闪躲，然后立刻转移话题。",陈浩眼睛,平视,固定,陈浩：阿姨，您这红烧肉做得真好，比我妈做的好吃多了。,切至,强调可疑细节
2,15,中景,"母亲笑得合不拢嘴。林晓低头，用筷子拨弄碗里的米饭。",母亲笑，林晓低头,平视,固定,母亲笑声,切至,展示林晓沉默观察
2,16,中景,"餐后，林晓在厨房洗碗。林悦走进来，脸上还带着幸福的红晕。",林晓洗碗，林悦入画,平视,固定,水声,切至,转换场景
2,17,近景,"林悦：怎么样？是不是很完美？",林悦表情,平视,固定,林悦：怎么样？是不是很完美？,切至,展示林悦期待
2,18,近景,"林晓停顿了一下。",林晓动作暂停,平视,固定,林晓（停顿）：他……在深圳的分公司，具体做什么的？,切至,展示林晓试探
2,19,中景,"林悦：哎呀，那些生意上的事我不懂。他跟我说过，但我记不住。反正就是进口出口之类的。",林悦摆手,平视,固定,林悦：哎呀，那些生意上的事我不懂。他跟我说过，但我记不住。反正就是进口出口之类的。,切至,展示林悦回避
2,20,近景,"林晓：你没去看过？",林晓追问,平视,固定,林晓：你没去看过？,切至,制造质疑
2,21,中景,"林悦有些不耐烦：去看什么？我又不懂。晓晓，你能不能别总是疑神疑鬼的？他对我很好，这就够了。",林悦表情变冷,平视,固定,林悦（有些不耐烦）：去看什么？我又不懂。晓晓，你能不能别总是疑神疑鬼的？他对我很好，这就够了。,切至,展示林悦防御
2,22,近景,"林晓：我只是……",林晓开口,平视,固定,林晓：我只是……,切至,展示林晓犹豫
2,23,近景,"林悦：你只是什么？你是不是觉得我配不上他？",林悦逼近,平视,固定,林悦：你只是什么？你是不是觉得我配不上他？,切至,制造冲突
2,24,近景,"林晓看着姐姐期待又防备的眼神，把话咽了回去。",林晓表情变化,平视,固定,林晓：没什么。你幸福就好。,切至,展示林晓退缩
2,25,中景,"林悦笑了，抱了抱她。",林悦拥抱林晓,平视,固定,林悦：你也会幸福的，等遇到对的人。,切至,展示表面和解
2,26,中景,"林晓没有说话。她低头继续洗碗，水声哗哗作响。",林晓继续洗碗，林悦离开,平视,固定,水声放大,切至,展示林晓内心沉默

3,1,远景,"图书馆仓库全景。堆满捐赠来的旧书。灰尘飞舞。林晓蹲在地上，一箱一箱地整理。",林晓蹲着,俯拍,缓慢下摇,环境声：灰尘、纸张声,淡入,建立空间
3,2,中景,"林晓戴着手套，动作熟练地拿起一本厚重的《国际贸易实务》。书页泛黄。",林晓动作,平视,固定,翻书声,切至,展示动作
3,3,特写,"一本书翻开，一张纸从书页间滑落。",纸张掉落,微俯,固定,纸张滑落声,切至,引入关键道具
3,4,近景,"林晓捡起来，是一份公司注册文件的复印件。上面写着：华信国际有限公司。",林晓动作，视线聚焦,平视,固定,无对白,切至,展示发现
3,5,特写,"她的手指停在了文件上。",林晓手指,微俯,固定,无对白,切至,强调停顿
3,6,近景,"她仔细看文件内容。注册地址、法人代表、注册资本……一切看起来都很正规。但她注意到一个细节：注册日期是去年三月，但文件上的公章编号格式和正规文件不一样。",林晓表情专注，视线移动,平视,缓慢推进,无对白，环境声减弱,切至,展示林晓发现异常
3,7,特写,"公章编号的特写。",文件细节,微俯,固定,无对白,切至,强调关键细节
3,8,近景,"林晓拿出手机，搜索“华信国际有限公司 注册信息”。",林晓动作,平视,固定,手机按键声,切至,展示行动
3,9,特写,"手机屏幕显示：搜索结果：无。",手机屏幕,微俯,固定,无对白,切至,展示结果
3,10,近景,"林晓又搜索了公章编号格式，发现这种编号格式是五年前就已经废止的旧版。",林晓表情变化，手开始发抖,平视,固定,无对白,切至,展示林晓震惊
3,11,特写,"她翻到文件最后一页，看到一行小字：本文件仅供内部参考，不具备法律效力。",文件细节,微俯,固定,无对白,切至,揭示关键信息
3,12,近景,"林晓喃喃自语：不具备法律效力……",林晓表情,平视,固定,林晓（喃喃自语）：不具备法律效力……,切至,展示林晓确认
3,13,近景,"她盯着文件，心跳加速。她想起陈浩在饭桌上说“华信国际”时那一瞬间的闪躲。",林晓表情变化，视线失焦,平视,固定,无对白，心跳声（主观音效）,切至,展示林晓联想
3,14,中景,"她拿出手机，犹豫了一下，拨通了林悦的电话。",林晓动作,平视,固定,拨号音,切至,制造行动
3,15,中景,"林悦（电话那头，嘈杂）：喂？晓晓？我在试妆呢，什么事？",林晓听电话,平视,固定,林悦（画外，嘈杂）：喂？晓晓？我在试妆呢，什么事？,切至,传递信息
3,16,近景,"林晓努力平静地说话。",林晓表情,平视,固定,林晓（努力平静）：姐，陈浩的公司……全名叫什么？,切至,展示林晓试探
3,17,中景,"林悦（电话那头，不耐烦）：华信国际啊，怎么了？",林晓听电话,平视,固定,林悦（画外，不耐烦）：华信国际啊，怎么了？,切至,传递信息
3,18,近景,"林晓：你见过他的营业执照吗？",林晓追问,平视,固定,林晓：你见过他的营业执照吗？,切至,制造质疑
3,19,中景,"林悦（电话那头，不耐烦）：你问这个干嘛？我又不是查户口的。",林晓表情变化,平视,固定,林悦（画外，不耐烦）：你问这个干嘛？我又不是查户口的。,切至,展示林悦防御
3,20,近景,"林晓：姐，你能不能……先别结婚？",林晓表情紧张,平视,固定,林晓：姐，你能不能……先别结婚？,切至,制造关键请求
3,21,中景,"林悦（电话那头，停顿）：你说什么？",林晓听电话,平视,固定,林悦（画外，停顿）：你说什么？,切至,制造转折
3,22,近景,"林晓：我找到了一些东西。我觉得陈浩可能……",林晓开口,平视,固定,林晓：我找到了一些东西。我觉得陈浩可能……,切至,展示林晓试图解释
3,23,中景,"林悦（电话那头，打断）：林晓！你是不是有病？我结婚你就不高兴是不是？从小到大什么都要跟我抢，现在连我的婚姻你都要破坏？",林晓表情受伤,平视,固定,林悦（画外，打断）：林晓！你是不是有病？我结婚你就不高兴是不是？从小到大什么都要跟我抢，现在连我的婚姻你都要破坏？,切至,制造冲突爆发
3,24,近景,"林晓：不是的，姐，你听我说……",林晓试图解释,平视,固定,林晓：不是的，姐，你听我说……,切至,展示林晓被压制
3,25,中景,"电话那头传来母亲的声音。",林晓听电话,平视,固定,母亲（画外）：怎么了怎么了？谁的电话？,切至,引入第三方
3,26,中景,"林悦（电话那头）：是晓晓！她发神经，让我别结婚！",林晓表情,平视,固定,林悦（画外）：是晓晓！她发神经，让我别结婚！,切至,传递信息
3,27,中景,"母亲（电话那头，夺过电话）：林晓！你又在搞什么？！你姐好不容易找到这么好的人家，你别给我添乱！",林晓表情,平视,固定,母亲（画外，夺过电话）：林晓！你又在搞什么？！你姐好不容易找到这么好的人家，你别给我添乱！,切至,展示母亲施压
3,28,近景,"林晓：妈，我找到一份文件，陈浩的公司可能是假的……",林晓试图解释,平视,固定,林晓：妈，我找到一份文件，陈浩的公司可能是假的……,切至,展示林晓坚持
3,29,中景,"母亲（电话那头）：什么文件？你懂什么？你连工作都是靠你姐介绍的！别看了几本侦探小说就当自己是福尔摩斯！婚礼的事你别管！",林晓表情受伤,平视,固定,母亲（画外）：什么文件？你懂什么？你连工作都是靠你姐介绍的！别看了几本侦探小说就当自己是福尔摩斯！婚礼的事你别管！,切至,展示母亲否定
3,30,近景,"电话被挂断。林晓握着手机，站在堆满旧书的仓库里。灰尘在光束中飞舞，像无声的雪花。",林晓表情，视线看向四周,平视,固定,挂断声，环境声恢复,切至,展示林晓孤立
3,31,特写,"她低头看着手里的文件复印件，手指收紧。",林晓手部动作,微俯,固定,无对白，纸张摩擦声,切至,展示林晓决心

4,1,中景,"林家客厅。林晓站在客厅里，面前是母亲和林悦。母亲双臂交叉，脸色铁青。林悦红着眼睛，坐在沙发上。",三人位置：林晓站立，母亲站立，林悦坐,平视,固定,环境声：安静,淡入,建立对峙空间
4,2,中景,"母亲：你把话说清楚。你凭什么说你姐夫的公司是假的？",母亲质问,平视,固定,母亲：你把话说清楚。你凭什么说你姐夫的公司是假的？,切至,制造冲突
4,3,近景,"林晓拿着复印件：妈，你看这个公章编号，是旧版的。正规公司不会用这种格式。而且我查了，网上根本搜不到“华信国际”的任何信息。",林晓展示文件,平视,固定,林晓：妈，你看这个公章编号，是旧版的。正规公司不会用这种格式。而且我查了，网上根本搜不到“华信国际”的任何信息。,切至,展示林晓证据
4,4,中景,"母亲不看文件：网上搜不到怎么了？人家是做国际贸易的，又不是开网店的！",母亲别过脸,平视,固定,母亲（不看文件）：网上搜不到怎么了？人家是做国际贸易的，又不是开网店的！,切至,展示母亲拒绝
4,5,近景,"林晓：妈，你至少看一眼……",林晓试图递文件,平视,固定,林晓：妈，你至少看一眼……,切至,展示林晓坚持
4,6,中景,"母亲（打断）：够了！林晓，我辛辛苦苦把你养大，你姐对你多好？你工作都是她帮你找的！现在她好不容易要嫁人了，你就这么回报她？",母亲逼近一步,平视,固定,母亲（打断）：够了！林晓，我辛辛苦苦把你养大，你姐对你多好？你工作都是她帮你找的！现在她好不容易要嫁人了，你就这么回报她？,切至,展示母亲情绪爆发
4,7,近景,"林晓：我不是要破坏，我是怕她被骗……",林晓表情受伤,平视,固定,林晓：我不是要破坏，我是怕她被骗……,切至,展示林晓辩解
4,8,中景,"林悦站起来，声音颤抖：被骗？我被谁骗？陈浩对我怎么样你看不到吗？他给我买包、带我旅游、对我妈比亲儿子还好！你呢？你除了躲在图书馆里看书，你做过什么？",林悦激动,平视,固定,林悦（站起来，声音颤抖）：被骗？我被谁骗？陈浩对我怎么样你看不到吗？他给我买包、带我旅游、对我妈比亲儿子还好！你呢？你除了躲在图书馆里看书，你做过什么？,切至,展示林悦指责
4,9,近景,"林晓：姐……",林晓表情受伤,平视,固定,林晓（受伤）：姐……,切至,展示林晓被刺痛
4,10,中景,"林悦：你别叫我姐！你就是嫉妒！你嫉妒我有人爱，嫉妒我过得比你好！你从小到大都是这样，我有什么你就要抢什么！",林悦逼近,平视,固定,林悦：你别叫我姐！你就是嫉妒！你嫉妒我有人爱，嫉妒我过得比你好！你从小到大都是这样，我有什么你就要抢什么！,切至,展示林悦失控
4,11,近景,"林晓：我没有……",林晓后退一步,平视,固定,林晓：我没有……,切至,展示林晓退缩
4,12,中景,"林悦：你有！你就有！",林悦喊叫,平视,固定,林悦：你有！你就有！,切至,展示冲突高潮
4,13,中景,"母亲走到两人中间：好了好了，别吵了。",母亲介入,平视,固定,母亲：好了好了，别吵了。,切至,制造中断
4,14,中景,"母亲转向林晓：晓晓，你听妈说。这件事到此为止。你姐的婚礼必须办，不能出任何差错。你要是再搞事，就别怪妈不认你。",母亲面对林晓,平视,固定,母亲（转向林晓）：晓晓，你听妈说。这件事到此为止。你姐的婚礼必须办，不能出任何差错。你要是再搞事，就别怪妈不认你。,切至,展示母亲最后通牒
4,15,近景,"林晓看着母亲和姐姐，感觉自己站在悬崖边，所有人都让她跳下去。",林晓表情变化，沉默,平视,固定,无对白，环境声：沉默,切至,展示林晓内心挣扎
4,16,近景,"林晓沉默了很久。",林晓表情,平视,固定,沉默,切至,制造停顿
4,17,近景,"林晓低声：好。我不说了。",林晓表情平静,平视,固定,林晓（低声）：好。我不说了。,切至,展示林晓表面妥协
4,18,中景,"母亲和林悦松了一口气。",两人表情放松,平视,固定,无对白,切至,展示家人反应
4,19,中景,"林晓转身，走向门口。",林晓动作,平视,固定,脚步声,切至,展示离开
4,20,中景,"母亲：你去哪？",母亲提问,平视,固定,母亲：你去哪？,切至,制造疑问
4,21,近景,"林晓没有回头：回图书馆。明天还要上班。",林晓背影,平视,固定,林晓（没有回头）：回图书馆。明天还要上班。,切至,展示林晓冷漠
4,22,中景,"门在身后关上。",门关闭,平视,固定,关门声,切至,制造隔离
4,23,近景,"走廊里，她靠着墙，闭上眼睛。手里还攥着那份文件复印件。",林晓动作,平视,固定,无对白，环境声：走廊回音,切至,展示林晓疲惫
4,24,特写,"她睁开眼，眼神变了。",林晓眼睛,平视,固定,无对白,切至,展示林晓决心变化

5,1,远景,"张叔家小院子全景。张叔（60岁，退休警察，瘦削，眼神锐利，穿着宽松旧衬衫）正在院子里浇花。",张叔站立,平视,固定,环境声：水声、鸟鸣,淡入,建立空间
5,2,中景,"林晓站在院门口，犹豫了一下，敲门。",林晓动作,平视,固定,敲门声,切至,引入人物
5,3,中景,"张叔抬头，看到她，笑了：晓晓？稀客啊。快进来。",张叔反应,平视,固定,张叔：晓晓？稀客啊。快进来。,切至,展示张叔友好
5,4,中景,"林晓走进院子，坐在石凳上。张叔给她倒了杯茶。",林晓坐下，张叔倒茶,平视,固定,倒茶声,切至,展示动作
5,5,中景,"张叔：怎么了？脸色这么难看。你姐不是要结婚了吗？应该高兴才对。",张叔坐下，观察林晓,平视,固定,张叔：怎么了？脸色这么难看。你姐不是要结婚了吗？应该高兴才对。,切至,制造对话
5,6,近景,"林晓低头：张叔，我想请你帮我查一个人。",林晓表情,平视,固定,林晓（低头）：张叔，我想请你帮我查一个人。,切至,展示林晓请求
5,7,中景,"张叔笑容收敛：谁？",张叔表情变化,平视,固定,张叔（笑容收敛）：谁？,切至,制造悬念
5,8,近景,"林晓：陈浩。我姐的未婚夫。",林晓抬头,平视,固定,林晓：陈浩。我姐的未婚夫。,切至,传递信息
5,9,中景,"张叔：查他干什么？他不是挺好的吗？你妈天天在朋友圈夸他。",张叔身体后仰,平视,固定,张叔：查他干什么？他不是挺好的吗？你妈天天在朋友圈夸他。,切至,展示张叔怀疑
5,10,近景,"林晓拿出文件复印件：我找到这个。他公司的注册文件是假的。我查了，网上没有“华信国际”的任何信息。",林晓递文件,平视,固定,林晓：我找到这个。他公司的注册文件是假的。我查了，网上没有“华信国际”的任何信息。,切至,展示证据
5,11,近景,"张叔接过文件，仔细看。他的表情逐渐严肃。",张叔表情变化,平视,固定,无对白，纸张翻动声,切至,展示张叔重视
5,12,中景,"张叔放下文件：晓晓，你知道你在说什么吗？",张叔放下文件，看向林晓,平视,固定,张叔（放下文件）：晓晓，你知道你在说什么吗？,切至,制造确认
5,13,近景,"林晓：我知道。但没有人相信我。我妈不信，我姐也不信。她们觉得我是嫉妒。",林晓表情坚定,平视,固定,林晓：我知道。但没有人相信我。我妈不信，我姐也不信。她们觉得我是嫉妒。,切至,展示林晓无奈
5,14,中景,"张叔沉默片刻：你确定这不是误会？也许人家公司刚注册，信息还没更新。",张叔身体前倾,平视,固定,张叔（沉默片刻）：你确定这不是误会？也许人家公司刚注册，信息还没更新。,切至,展示张叔试探
5,15,近景,"林晓摇头：公章编号是旧版的。而且他说公司在新加坡有总部，但我在新加坡商业注册局查了，没有这家公司。",林晓摇头,平视,固定,林晓（摇头）：公章编号是旧版的。而且他说公司在新加坡有总部，但我在新加坡商业注册局查了，没有这家公司。,切至,展示林晓准备充分
5,16,近景,"张叔看着她，眼神里有一丝意外。",张叔表情,平视,固定,无对白,切至,展示张叔评价
5,17,中景,"张叔叹气：晓晓，我已经退休了。这种事……不好插手。",张叔叹气，身体后靠,平视,固定,张叔（叹气）：晓晓，我已经退休了。这种事……不好插手。,切至,展示张叔退缩
5,18,近景,"林晓急切：张叔，你以前教过我，说做人要正直。如果陈浩真的是骗子，我姐会失去一切的。不只是钱，是她整个人生。",林晓表情急切,平视,固定,林晓（急切）：张叔，你以前教过我，说做人要正直。如果陈浩真的是骗子，我姐会失去一切的。不只是钱，是她整个人生。,切至,展示林晓恳求
5,19,中景,"张叔看着她：你就不怕搞错了？万一他是真的，你怎么办？",张叔直视林晓,平视,固定,张叔（看着她）：你就不怕搞错了？万一他是真的，你怎么办？,切至,制造压力
5,20,近景,"林晓坚定：那我认错。我跪着给他道歉。但如果是假的，我不能眼睁睁看着我姐跳火坑。",林晓表情坚定,平视,固定,林晓（坚定）：那我认错。我跪着给他道歉。但如果是假的，我不能眼睁睁看着我姐跳火坑。,切至,展示林晓决心
5,21,中景,"张叔沉默了很久。他看向院子里的花，又看向林晓。",张叔视线移动,平视,固定,无对白，环境声：鸟鸣,切至,制造犹豫
5,22,近景,"张叔低声：你跟你爸真像。认准了的事，九头牛都拉不回来。",张叔表情复杂,平视,固定,张叔（低声）：你跟你爸真像。认准了的事，九头牛都拉不回来。,切至,展示张叔情感
5,23,近景,"林晓眼眶微红：所以……你愿意帮我吗？",林晓表情,平视,固定,林晓（眼眶微红）：所以……你愿意帮我吗？,切至,展示林晓期待
5,24,中景,"张叔拿起文件：我只能帮你查查公开信息。其他的，你自己想办法。",张叔动作,平视,固定,张叔（拿起文件）：我只能帮你查查公开信息。其他的，你自己想办法。,切至,展示张叔答应
5,25,近景,"林晓：够了。谢谢你，张叔。",林晓表情放松,平视,固定,林晓：够了。谢谢你，张叔。,切至,展示林晓感激
5,26,中景,"张叔看着她：晓晓，你要想清楚。如果陈浩真有问题，他不是一个人。背后肯定有人。你会很危险。",张叔表情严肃,平视,固定,张叔（看着她）：晓晓，你要想清楚。如果陈浩真有问题，他不是一个人。背后肯定有人。你会很危险。,切至,展示警告
5,27,近景,"林晓：我知道。",林晓表情平静,平视,固定,林晓：我知道。,切至,展示林晓接受
5,28,中景,"张叔叹气：你妈要是知道我帮你，非得骂死我不可。",张叔摇头,平视,固定,张叔（叹气）：你妈要是知道我帮你，非得骂死我不可。,切至,展示张叔无奈
5,29,近景,"林晓笑了一下：我会替你挡着的。",林晓微笑,平视,固定,林晓（笑了一下）：我会替你挡着的。,切至,展示林晓轻松
5,30,中景,"张叔摇摇头，但眼里有一丝赞许。",张叔表情变化,平视,固定,无对白,切至,展示张叔态度

6,1,远景,"咖啡馆露台全景。只有两三桌客人。林晓坐在角落，面前的咖啡已经凉了。",林晓独坐,平视,固定,环境声：咖啡机声、低语声,淡入,建立空间
6,2,中景,"陈浩走过来，穿着休闲西装，笑容温和。他在对面坐下。",陈浩入画，坐下,平视,固定,脚步声,切至,引入人物
6,3,近景,"陈浩微笑：你约我出来，我还挺意外的。林悦说你很少主动约人。",陈浩表情,平视,固定,陈浩（微笑）：你约我出来，我还挺意外的。林悦说你很少主动约人。,切至,展示陈浩表面友好
6,4,近景,"林晓直接：陈浩，我想跟你聊聊你公司的事。",林
